,ItemID,CommentingUser,CommentingUserScore,CommentText,CommentTime,CommentType
35,156182542622,i***j,345,Great condition. Thank you. ,2024-11-04T07:00:00.000Z,Positive
36,166956292463,o***m,496,Satisfied with my purchase would order from seller again!!!,2024-10-21T07:00:00.000Z,Positive
37,364591419855,_***_,40,Very satisfied with my order! Thank you! ,2024-02-26T07:00:00.000Z,Positive
38,364591419855,m***6,423,Item arrived in good time and as advertised.,2023-12-04T07:00:00.000Z,Positive
39,233917924617,s***r,4761,Great item. Fast shipping. ,2024-10-21T07:00:00.000Z,Positive
40,233917924617,p***a,303,Thanks ,2024-07-08T07:00:00.000Z,Positive
41,233917924617,p***a,303,Thanks!,2024-07-08T07:00:00.000Z,Positive
42,233917924617,i***p,452,Great product! Great seller!,2024-05-20T07:00:00.000Z,Positive
43,233917924617,o***c,13,Fast shipping! Item works great,2024-05-20T07:00:00.000Z,Positive
44,233917924617,e***m,726,Great price for the camera !!!!,2024-05-20T07:00:00.000Z,Positive
45,233917924617,i***p,452,Great packing! Item is exactly as described! Highly recommended!,2024-05-06T07:00:00.000Z,Positive
46,233917924617,u***1,316,"Awesome seller, fast shipping. Thanks! ",2024-02-05T07:00:00.000Z,Positive
47,232319826886,r***h,43,Quick shipping,2024-11-04T07:00:00.000Z,Positive
48,232319826886,d***j,5,Excelente,2024-10-21T07:00:00.000Z,Positive
49,232319826886,r***_,6,Fast shipping. Product exactly as described ,2024-10-14T07:00:00.000Z,Positive
50,134701721137,x***x,260,Great seller,2024-07-29T07:00:00.000Z,Positive
51,134701721137,l***c,5567,Perfect Transaction! Recommend this Seller!!,2024-05-20T07:00:00.000Z,Positive
52,134701721137,e***i,3,Was able to register the product with Dyson. Came quickly in great shape.,2024-04-29T07:00:00.000Z,Positive
53,134701721137,9***9,46,Fast shipment,2024-04-15T07:00:00.000Z,Positive
54,134701721137,b***b,166,Quick delivery and very easy transaction. Product exactly as described.,2024-04-01T07:00:00.000Z,Positive
55,134701721137,k***e,3469,AAAAAA,2024-01-01T07:00:00.000Z,Positive
56,134701721137,9***d,138,Great seller,2023-12-25T07:00:00.000Z,Positive
57,134701721137,s***e,240,A+++ As described,2023-12-18T07:00:00.000Z,Positive
58,204990655304,2***2,3055,Thanks for your quick shipment.,2024-10-21T07:00:00.000Z,Positive
59,166632508839,a***_,55,Excelente ,2024-05-20T07:00:00.000Z,Positive
60,166632508839,z***e,180,Bought a dyson. Never work from beginning.  Contacted seller . They told me to Contact Dyson. Which I did. And no warranty from from dyson.  Told seller and seller declined my return.  Do not recommend......,2024-05-13T07:00:00.000Z,Negative
61,266145194839,n***d,56,ððð,2024-08-05T07:00:00.000Z,Positive
62,266145194839,m***m,165,I purchased this Dyson Straightener for a gift. The person loved it. ,2024-04-08T07:00:00.000Z,Positive
63,266145194839,h***r,6,Great! Thx! ,2024-04-01T07:00:00.000Z,Positive
64,266145194839,s***r,486,Thanks,2024-03-18T07:00:00.000Z,Positive
65,266145194839,m***d,521,Nice,2024-01-29T07:00:00.000Z,Positive
66,233986543289,d***s,504,Item arrived very quickly and just as described!!!,2024-10-07T07:00:00.000Z,Positive
67,234963241715,c***c,759,Thank you!,2024-03-25T07:00:00.000Z,Positive
68,234963241715,k***6,96,Great communication 5*,2023-11-27T07:00:00.000Z,Positive
69,176644398901,u***1,515,"Really loved the Dyson Airstrait.
Great quality ",2024-11-11T07:00:00.000Z,Positive
70,235080683289,1***6,574,Fast shipping ,2024-02-05T07:00:00.000Z,Positive
71,335225890772,2***2,716,Great item!  Thanks!,2024-04-15T07:00:00.000Z,Positive
72,335225890772,a***9,481,Excellent excellent excellent seller ... 100% recommended ... Thank you ,2024-03-11T07:00:00.000Z,Positive
73,331504305289,r***i,160,"Good condition, quick shipping. Thanks! ",2024-02-12T07:00:00.000Z,Positive
74,331504305289,d***d,811,Works as described nice but,2024-02-05T07:00:00.000Z,Positive
75,331504305289,b***b,101,Product works well as described ,2024-01-22T07:00:00.000Z,Positive
76,331504305289,d***n,17,Great and easy. ,2024-01-22T07:00:00.000Z,Positive
