seller_id,seller_username,seller_feedback_score,seller_positive_feedback_percentage
538,david42packrat,679,97.8
539,best-deals-free-shipping,5029,97.2
540,agliquidations,545,99.8
541,javalee116,344,100.0
542,close-ups05,113,100.0
543,vipoutlet,483560,96.8
544,valuerecycleca,627,94.9
545,ewirelessgear,163811,99.7
546,vintag3world,377,98.2
547,easy_buy_tronixs,2691,98.3
548,49wfh_21,19,100.0
549,yardsalegaragesale,445,98.7
550,be.bay,716,94.6
551,seekndeliver,1496,99.6
552,westwayflorida-llc,2542,99.0
553,baxtop,1,100.0
554,kevscotkevi,506,100.0
555,micvande-61,1135,98.6
556,truebalancetech,50,96.2
557,rocksolidfinds,268,100.0
558,djurdjurastore,676,98.5
559,the_mae_group,1020,100.0
560,sc_sales-1,987,98.3
561,2cutedcopley1,1389,99.2
562,giving4good,2948,100.0
563,jmc_market,3730,99.3
564,bargain177,20,90.0
565,lastshotdown,1750,99.7
566,locker-adventures-with-aj-ventures,571,97.2
567,wholesalebroker,15867,98.9
568,towerhomecenter,3741,98.0
569,jacksexton3166,407,93.3
570,crabwarehouse,2586,98.2
571,tooldealz24,488,97.1
572,goodgoodthrifting33,345,99.3
573,twindad725,187,100.0
574,johnsonexpresstrading,259,100.0
575,socaltombraider,4039,97.8
576,thatoth_0,2004,99.2
577,201017s,72,100.0
578,kingf73,268,0.0
579,kymonte-14,62,100.0
580,cmdeals63,1587,99.5
581,discount17,13740,99.0
582,jaysecomstore81,6,85.7
583,yesia9,1779,97.6
584,hitexstore,121771,98.5
585,vp_culpeper,556,100.0
586,geeksbrain,3859,100.0
587,ratweenus,133,95.7
588,samcrank,272,100.0
589,bigbuckssales,6742,99.3
590,madehug_64,1,100.0
591,bt-smart,511,96.7
592,061909k,99,100.0
593,theestatekings,16370,99.1
594,skynon,55997,99.7
595,e-discountsusa,406,97.3
596,fivestarzdeals,33,100.0
597,yeroelecomm,4827,95.6
598,meeze5046,495,100.0
599,eande-18,2206,97.8
600,dmro2432,17,100.0
601,msolut_48,131,97.2
602,7vctr54,0,0.0
603,herrmann3979,4146,97.9
604,sweetroll2,74,100.0
605,bigpapisavings,7242,99.4
606,cjw42060,26907,99.6
607,houston2007,142,100.0
608,all_city_gold,7036,98.8
609,bluwirehg,1268,98.3
610,silverdollarcoin2038,465,98.8
611,gingers_closet,47,100.0
612,jave3097,91,100.0
613,macanz46,155,97.5
614,eboy4sale,2354,98.7
615,ciragust,25288,99.5
616,willis-mcgregor,22,95.8
617,ibrahialsaed-0,2390,97.4
618,buffakickz,220,100.0
619,zashiki-warashi,327,100.0
620,solupianc-54,463,94.7
621,dylagarlan_1,62,100.0
622,muslinbags,833,100.0
623,mikemike25,4,100.0
624,dirtrider13660,150,100.0
625,mach-3208,2,100.0
626,eco_saving,291,97.7
627,business-supplies-2009,6812,99.1
628,lookinfouradeal903,752,100.0
629,tiantian0579,6533,100.0
630,salado.depot,25217,98.6
631,ricquel680,-1,0.0
632,redefiners,1285,96.7
633,loopiez_4,1625,98.6
634,oneagaus-0,52,100.0
635,kohs_shop_japan,604,99.6
636,dvfgoods,1337,99.6
637,four_heads_trading,307,99.7
638,power.eagle,8665,99.7
639,mango222,1052,99.8
640,refreshingcub,826,99.2
641,moleco-35,3,100.0
642,yellowmosquitoesinc,1078,100.0
643,prodiscountsellers,7338,98.3
644,wesmas-20,4,100.0
645,encoretradingjay,5293,99.6
646,galileo37,3060,98.1
647,jjbauj-45,0,0.0
648,ccenterprises81,2140,99.6
649,williiabernit0,938,99.6
650,nevermore,5949,99.5
651,tocro_75,13,100.0
652,kam197921,0,0.0
653,cruzzycops,51,100.0
654,eshoreusa89,2921,99.1
655,reducingewaste,979,100.0
656,solsomaha,6479,99.6
657,iluvyrdsls,5000,97.1
658,tamub-82,18,100.0
659,yaaru_0,51,100.0
660,lkhan_3,37,81.3
661,snayr99,725,96.4
662,claha_80413,375,100.0
663,rayymer,836,100.0
664,bentley1017,4487,100.0
665,bubba_bruin,5926,99.0
666,thomakincai-1,3223,97.7
667,thriftstore_tv,4593,98.4
668,cellphoneseller1232015,6699,98.4
669,bigdealoutlets,9527,99.5
670,raccoon_man_resale,1629,91.4
671,734hwrecht,3965,99.2
672,cscdeals,22596,98.0
673,genuine-autotech,6913,94.8
674,jblac_1965,577,100.0
675,goodsfordays,1005,93.7
676,techandgadgetscenter,69,100.0
677,adnolor24,4811,95.3
678,hotdigital-international,24310,98.3
679,belo6188,3,0.0
680,newtechmaine,644,99.0
681,tht.us.yo4bzur8qo,100,100.0
682,reuselectronics,14478,99.4
683,hontoro2009,250,96.3
684,dealer-1988,1774,100.0
685,hcallaway13,3,100.0
686,primepursuits,28,100.0
687,cellsnotherstuff,3423,99.0
688,geochicago,11681,100.0
689,bolsan-0,420,100.0
690,lovethemtys,210,100.0
691,eshane22,271,100.0
692,em_w22,157,100.0
693,outletbedstory,2910,99.4
694,myriamt63,359,97.4
695,dtothepowerofthree,1480,100.0
696,phil_goodz,0,0.0
697,newdelight88,32,100.0
698,dealgiantllc,2068,99.7
699,treasurezforless,997,98.0
700,ceriamiatoe,3165,99.3
701,diamondjliquidation,126,100.0
702,j.wholesale,0,50.0
703,madkapitolism,2106,100.0
704,bistatesales,31941,99.3
705,goodbargainsuk,1245,100.0
706,zipzoomzipy,471,100.0
707,velbu6087_4wrylrqk,-1,0.0
708,smkkennsamu,21591,98.5
709,mayjune,1174,100.0
710,debhor-20,0,0.0
711,tmaclean1984,109,100.0
712,jarki-8908,7,100.0
713,419flip,6882,98.7
714,justperfectretailer,92,100.0
715,sherber14,77,100.0
716,uglymonkies,1697,99.1
717,napp241,119,97.5
718,wucall419,228,100.0
719,dragonsun-888,1246,100.0
720,mhhbaghai,37,100.0
721,capitalcitypawn217,1738,99.4
722,electron9410,501,97.0
723,tokyopanda,670,100.0
724,remembe-48,186,97.4
725,littlekitty0103,1328,100.0
726,blauriha,880,100.0
727,greenhornetbest,2058,99.6
728,sunshine2010_3,23,100.0
729,snowsurgeon1,1175,100.0
730,stellkandov_0,36,100.0
731,lifestylebyfocus,807140,99.0
732,yesbuenr-0,7,0.0
733,buymystuffnyk,1886,98.9
734,chaukirk26,10,100.0
735,thecelik,46,100.0
736,mmf896,1594,98.3
737,vmun2562,631,97.6
738,hs_technologie_llc,598,89.1
739,sohoartsupply,502,93.7
740,oliviabrookeandco-3,28749,99.6
741,king_art,690,98.4
742,jbrv4349,3,100.0
743,a1-vacuum,88,100.0
744,outspokendeals,594,99.2
745,jimmy-win,94,100.0
746,rchead,691,100.0
747,olivia580,70,100.0
748,omas-8992,0,0.0
749,jbtechcompany,8232,98.8
750,califas760,6,100.0
751,ucs_deals,270,98.3
752,englishlabrador,3271,99.5
753,pace-43,7,100.0
754,cidstore,62,0.0
755,lsdiscsinc,46847,98.1
756,lgtfashion,3954,97.9
757,georgia54321,316,96.7
758,nextera-gear,22,100.0
759,jachami72,98,100.0
760,sandylake110,897,100.0
761,olivekaybgallery,70,88.3
762,patw1050,9,100.0
763,nina_942,5,100.0
764,eastcoastthrifters,15,82.6
765,syfar_22,3,100.0
766,dihe-3513,4,100.0
767,8ten1944,221909,99.4
768,comet-electronix,3149,96.5
769,lindag.941,721,98.0
770,smartbuys-discountdepot,1972,98.9
771,eltima_goods,1550,100.0
772,mdrretailsolutions,36,100.0
773,skater5269,4134,99.1
774,dukagikomba95,1,75.0
775,rmagee_95,14,88.9
776,559dealking,293,100.0
777,imasterit,1872,100.0
778,jellybel_20,638,92.2
779,vangservice,282,97.8
780,alltechrevival,1966,99.3
781,brkuk-47,3,80.0
782,betterservice2014,210,100.0
783,rolerguy,1268,100.0
784,jrad_25,2,0.0
785,ahkh-418,1767,98.2
786,jz1988_b,186,94.4
787,amazingdealoutlets,1336,95.5
788,v-rods-r-us,12347,99.4
789,larhrobi-0,0,0.0
790,southerngirl98,3,50.0
791,aiste_9530,0,0.0
792,taxfree4all,5529,99.3
793,grcar7563,212,100.0
794,savingalot,6731,99.4
795,wp-resale,978,99.6
796,consumersale2017,1175,98.5
797,mjp4re2000,2649,100.0
798,streetc6,0,0.0
799,pskrusa,2414,97.8
800,sarah.urbanski,411,100.0
801,texasconsignmentshop,8852,98.7
802,dy-61342,24,100.0
803,montgomeryalabamapickers,705,98.7
804,bringyouroffer,514,99.3
805,pawnusawilmington,5272,99.7
806,sermar-7316,204,95.7
807,anatolia04,2304,99.4
808,lookawaylad,4892,100.0
809,gothicloner19925,112,100.0
810,godfatherpawn1,1844,100.0
811,dealspread,1491,99.7
812,pixelbeatdvd,80,100.0
813,hmdcwd08,5260,98.6
