item_id,price_usd,original_price_usd,discount_percentage,discount_amount_usd,shipping_cost_usd,date_time
226451898727,145.09,,,,66.07,2024-11-18 12:49:51.372159
126485475225,277.53,,,,51.75,2024-11-18 12:49:52.570924
226436140665,164.02,,,,64.28,2024-11-18 12:49:53.237770
114114335554,113.5,,,,68.38,2024-11-18 12:49:54.149765
126251855321,138.73,151.35,8.0,12.62,,2024-11-18 12:49:55.881026
226122949000,88.31,,,,56.69,2024-11-18 12:49:56.680975
134924132429,151.35,,,,66.28,2024-11-18 12:49:57.514789
146062665081,126.17,,,,65.41,2024-11-18 12:49:58.240455
276736133242,167.59,,,,,2024-11-18 12:49:59.055904
296458291691,88.31,,,,67.51,2024-11-18 12:49:59.981540
196354309331,145.09,,,,52.05,2024-11-18 12:50:01.837058
226192385098,100.88,,,,55.68,2024-11-18 12:50:03.014945
296823008613,463.65,,,,73.67,2024-11-18 12:50:03.732817
387613331483,247.64,,,,,2024-11-18 12:50:04.988441
315935281160,100.93,,,,62.11,2024-11-18 12:50:07.246442
185556088341,157.73,,,,66.5,2024-11-18 12:50:07.992460
226319380848,112.99,,,,57.0,2024-11-18 12:50:08.800115
113926801637,227.06,,,,,2024-11-18 12:50:09.484393
126543767482,163.97,,,,,2024-11-18 12:50:11.189286
116264100592,126.12,,,,68.82,2024-11-18 12:50:12.012282
126591625986,126.12,,,,65.41,2024-11-18 12:50:13.100998
123437675769,189.21,,,,,2024-11-18 12:50:14.275378
126667800686,100.88,,,,,2024-11-18 12:50:15.000576
226388699600,151.4,,,,80.29,2024-11-18 12:50:16.169472
195720440871,105.99,,,,33.29,2024-11-18 12:50:17.398319
126635479780,126.12,,,,54.72,2024-11-18 12:50:19.012260
276670526506,82.0,,,,74.98,2024-11-18 12:50:19.783003
126252308053,239.68,,,,64.59,2024-11-18 12:50:20.658553
126314545157,126.12,,,,,2024-11-18 12:50:22.097375
155850537577,163.97,,,,50.99,2024-11-18 12:50:22.943130
276658170438,88.31,,,,61.66,2024-11-18 12:50:23.730633
126669617821,100.88,,,,,2024-11-18 12:50:24.555192
226447485981,138.23,,,,62.6,2024-11-18 12:50:25.777806
176648413191,176.59,,,,67.15,2024-11-18 12:50:27.155984
126667837128,100.88,,,,,2024-11-18 12:50:28.333504
356248786536,525.52,,,,,2024-11-18 12:50:29.151399
276713289035,107.24,,,,67.32,2024-11-18 12:50:30.431411
226102086302,112.99,,,,60.02,2024-11-18 12:50:31.298558
126635489063,126.12,,,,54.72,2024-11-18 12:50:32.261624
405306320651,594.27,,,,96.16,2024-11-18 12:50:33.036500
235566988900,214.49,,,,90.48,2024-11-18 12:50:33.758877
116308922119,121.13,,,,64.29,2024-11-18 12:50:34.601056
226297182355,112.99,,,,61.73,2024-11-18 12:50:35.578312
126251785177,126.12,138.73,9.0,12.62,,2024-11-18 12:50:36.338389
204826966976,263.49,,,,,2024-11-18 12:50:37.256755
126310688274,163.97,,,,70.12,2024-11-18 12:50:38.273954
186774479661,113.55,,,,76.31,2024-11-18 12:50:39.038169
205035161648,100.93,,,,71.43,2024-11-18 12:50:39.754138
126251809127,151.35,163.97,8.0,12.62,,2024-11-18 12:50:40.636615
113885809013,214.44,,,,,2024-11-18 12:50:41.456812
126591244160,113.5,,,,64.97,2024-11-18 12:50:42.683102
387375514371,368.85,,,,,2024-11-18 12:50:43.528897
202134264508,170.34,,,,70.35,2024-11-18 12:50:44.814028
226426075379,112.99,,,,61.73,2024-11-18 12:50:46.153637
315877798409,100.93,,,,71.28,2024-11-18 12:50:46.967826
285876987554,119.87,,,,18.93,2024-11-18 12:50:47.688263
116254341069,88.26,,,,53.41,2024-11-18 12:50:48.502616
404827242200,119.81,,,,,2024-11-18 12:50:50.349636
135205452053,80.74,100.93,20.0,20.19,67.71,2024-11-18 12:50:51.379087
235814745331,100.93,,,,62.11,2024-11-18 12:50:52.185130
126633831033,201.82,,,,65.59,2024-11-18 12:50:53.396016
395797449295,100.93,,,,53.85,2024-11-18 12:50:55.518109
126251231122,163.97,176.59,7.0,12.62,,2024-11-18 12:50:56.181933
235606860894,88.33,,,,59.42,2024-11-18 12:50:57.029508
326331416298,113.56,,,,54.31,2024-11-18 12:50:57.928712
166733930291,112.3,,,,49.21,2024-11-18 12:50:58.800756
126635492500,126.12,,,,54.72,2024-11-18 12:50:59.700258
276615393021,88.31,,,,67.51,2024-11-18 12:51:00.909559
123904705786,176.59,,,,81.75,2024-11-18 12:51:01.760773
305751332344,128.37,147.55,13.0,19.18,,2024-11-18 12:51:02.535518
375777963892,189.61,,,,,2024-11-18 12:51:03.353116
176668710412,94.64,,,,57.42,2024-11-18 12:51:05.152429
126251258033,163.97,176.59,7.0,12.62,,2024-11-18 12:51:07.061871
126635409346,201.82,,,,49.13,2024-11-18 12:51:07.950220
126691897592,189.21,,,,,2024-11-18 12:51:08.719196
113796998783,227.06,,,,,2024-11-18 12:51:09.546766
116263940495,113.5,,,,68.38,2024-11-18 12:51:10.954247
164091815398,119.87,,,,37.84,2024-11-18 12:51:11.750382
196654342187,88.26,,,,72.96,2024-11-18 12:51:12.661614
315693508919,126.17,,,,60.68,2024-11-18 12:51:14.040687
113885561282,239.68,,,,86.41,2024-11-18 12:51:15.002853
126251890044,138.73,151.35,8.0,12.62,,2024-11-18 12:51:16.207237
126252290482,163.97,,,,73.6,2024-11-18 12:51:16.972213
126427898263,126.12,,,,,2024-11-18 12:51:17.836197
126251236592,163.97,176.59,7.0,12.62,,2024-11-18 12:51:18.615466
126251778851,176.59,189.21,7.0,12.62,81.75,2024-11-18 12:51:19.489017
126728454162,227.06,,,,68.89,2024-11-18 12:51:20.331180
126251799809,126.12,138.73,9.0,12.62,,2024-11-18 12:51:21.056538
